station_id,name,lat,lng,address,operator_id,location
BNBN0143,"충남 보령 대천5동 행정복지센터",36.31711130,126.51503570,"충청남도 보령시 대천항로 204",BN,...
BNBN0144,"논산 강경상업고등학교",35.54127980,128.16934540,"충남 논산시 강경읍 계백로 220",BN,...
BNBN0145,"경남 합천 카누스테이션",35.54127980,128.16934540,"경상남도 합천군 대양면 대야로 572-7",BN,...
BNBN0146,"진주 국토안전관리원 인재교육관",35.17957650,128.14765340,"경남 진주시 충무공동 225-9",BN,...
BNBN0150,"전남 여수 한려지구",34.74469770,127.74257400,"전라남도 여수시 공화남2길 19-1",BN,...
BNBN0151,"화성 발안만세시장 제1공영주차장",37.13296740,126.91042140,"경기 화성시 향남읍 평리 36-3",BN,...
BNBN0153,부천아트센터,37.50291800,126.76591000,"경기 부천시 중동 1156",BN,...
BNBN0154,"영등포구 대림2동 중앙시장 공영주차장",37.49157180,126.89970460,"서울특별시 영등포구 디지털로37나길 21 (대림동)",BN,...
BNBN0156,"전남 여수 여수세관",34.75310760,127.67464500,"전남 여수시 웅천북로 39 (웅천동, 여수세관)",BN,...
BNBN0157,"서울 금천구 독산2동 공영주차장",37.46394000,126.89997500,"서울특별시 금천구 시흥대로98길 36",BN,...
BNBN0161,"경기 여주 교도소",37.23485860,127.54602120,"경기도 여주시 가남읍 양화로 107",BN,...
BNBN0169,금산교육지원청,36.10408250,127.48291550,"충청남도 금산군 금산읍 인삼로 14",BN,...
BNBN0170,홍성도서관,36.59963090,126.66713120,"충남 홍성군 홍성읍 충절로 1050 (오관리, 홍성도서관)",BN,...
BNBN0171,"전남 순천 웃장철골주차장",34.95849390,127.48587270,"전남 순천시 동외동 198-5",BN,...
BNBN0172,"충북 보은 국토관리사무소",36.48147320,127.70955460,"충북 보은군 보은읍 장신리 135-2",BN,...
BNBN0174,"충남 홍성 한용운 선생 생가지",36.56298710,126.55380840,"충남 홍성군 결성면 만해로318번길 83 (성곡리)",BN,...
BNBN0176,"천안 불당고등학교",36.80913430,127.10302100,"충남 천안시 서북구 불당29길 22 (불당동, 천안불당고등학교)",BN,...
BNBN0177,"영등포구 신길환승5호선 공영주차장",37.51771290,126.91450950,"서울특별시 영등포구 영등포동1가 35",BN,...
BNBN0178,"영등포구 대림1동 공영주차장",37.49314920,126.90163020,"서울특별시 영등포구 대림로22길 2 (대림동)",BN,...
BNBN0179,홍성고등학교,36.64990530,126.67274740,"충남 홍성군 홍북읍 홍학로 49 (신경리)",BN,...
BNBN0180,"영등포구 대림운동장 공영주차장",37.49970820,126.89464620,"서울특별시 영등포구 가마산로31길 16 (대림동, 대림운동장)",BN,...
BNBN0181,"경기 양주 감악산 주차장",37.91062700,126.96527420,"경기도 양주시 남면 감악산로514번길 120",BN,...
BNBN0182,"천안 업성고등학교",36.86177540,127.13742820,"충남 천안시 서북구 업성3길 65-11 (업성동)",BN,...
